post_date,publish_time,post_url,impressions,engagements,engagement_rate_pct,format,script_file,brand,campaign,hook_style,topic_tag,cta_keyword,reactions,comments,reposts,saves,notes
3/14/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7438467099393445888,501,,,,,,,,,,,,,,
3/16/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7439337591927103488,520,,,,,,,,,,,,,,
3/16/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7439188995143622657,934,9,0.96,,,,,,,,,,,,
3/19/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7440383801194672128,615,,,,,,,,,,,,,,
3/19/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7440264097717452800,434,,,,,,,,,,,,,,
3/21/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7441086747050012672,2639,10,0.38,,,,,,,,,,,,
3/22/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7441403969966440448,746,,,,,,,,,,,,,,
3/23/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7441803164749709312,491,,,,,,,,,,,,,,
3/24/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7442184251271290880,673,,,,,,,,,,,,,,
3/25/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7442417462421123072,731,9,1.23,,,,,,,,,,,,
3/25/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7442546058376802304,706,14,1.98,,,,,,,,,,,,
3/26/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7442938362128384001,1073,9,0.84,,,,,,,,,,,,
3/26/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7442791396199043072,526,,,,,,,,,,,,,,
3/27/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7443164929471414272,506,,,,,,,,,,,,,,
3/28/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7443614029245280256,2618,27,1.03,,,,,,,,,,,,
3/29/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7443991626055671808,665,6,0.9,,,,,,,,,,,,
3/31/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7444687605746540545,507,6,1.18,,,,,,,,,,,,
4/1/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7445065446522863616,3223,13,0.4,,,,,,,,,,,,
4/2/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7445428201637433344,450,,,,,,,,,,,,,,
4/3/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7445689733512372224,642,6,0.93,,,,,,,,,,,,
4/6/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7446764410553004032,762,,,,,,,,,,,,,,
4/7/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7447249496469770241,,6,,,,,,,,,,,,,
4/8/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7447607350611570688,,6,,,,,,,,,,,,,
4/8/2026,,https://www.linkedin.com/feed/update/urn:li:activity:7447489757665910784,,5,,,,,,,,,,,,,
